date,code,name,city,county,fips,zipcode,x,y,confirmed_cases,new_confirmed_cases,active_cases,released_cases,resolved_cases,deaths,new_deaths
3/10/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,,,0,,0,
3/11/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/12/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/13/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/14/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/15/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/16/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/17/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/18/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/19/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/20/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/21/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/22/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/23/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/24/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/25/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/26/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/27/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/28/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/29/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/30/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
3/31/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/1/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/2/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/3/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/4/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/5/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/6/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/7/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/8/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/9/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/10/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/11/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/12/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/13/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/14/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/15/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/16/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/17/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/18/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/19/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/20/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/21/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/22/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/23/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/24/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/25/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/26/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/27/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/28/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/29/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
4/30/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/1/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/2/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/3/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/4/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/5/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/6/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/7/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/8/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/9/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/10/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/11/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/12/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/13/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/14/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/15/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
