Name,Latitude,Longitude,County,Zipcode,Address
East Valley PMQ Pharmacy,34.06717,-117.92578,Los Angeles,91790,2200 E. Gonzalez Rd
SAVON PHARMACY #0331,35.60517,-117.67447,Kern,93555,2200 E. Gonzalez Rd
WALGREENS  #10354,34.2799,-118.74425,Ventura,93065,2200 E. Gonzalez Rd
Miracle Temple COGP,33.95439,-118.35527,Los Angeles,90301,109 W Buckthorn Street
The Medicine Shoppe (1121 South State Street),33.72897,-116.97168,Riverside,92543,109 W Buckthorn Street
RITE AID PHARMACY 05789,34.41994,-119.70039,Santa Barbara,93101,109 W Buckthorn Street
Arden Medical Pharmacy,34.15881,-118.26285,Los Angeles,91203,109 W Buckthorn Street
SAFEWAY PHARMACY #0997,37.25256,-121.90725,Santa Clara,95118,109 W Buckthorn Street
NEVHC - San Fernando Health Center,34.28894,-118.4487,Los Angeles,91340,109 W Buckthorn Street
RITE AID PHARMACY 05927,37.9949,-122.10138,Contra Costa,94553,109 W Buckthorn Street
Garden Grove Hospital,33.77518,-117.91281,Orange,92843,12601 Garden Grove Blvd 
CFHE- La Puente Road,34.02687,-117.84172,Los Angeles,91789,21215 La Puente Rd
Scripps Memorial Hospital – Encinitas,33.03863,-117.28467,San Diego,92024,21215 La Puente Rd
Serenity Health Care,33.78263,-118.16646,Los Angeles,NA,21215 La Puente Rd
WALMART PHARMACY 10-2457,38.59591,-121.29132,Sacramento,95670,21215 La Puente Rd
CVS Pharmacy at 311 S Mountain Ave,34.09041,-117.67024,San Bernardino,91786,21215 La Puente Rd
WALGREENS #4724,37.9899,-121.78625,Contra Costa,94531,21215 La Puente Rd
East Valley Community Health Center- Pomona,34.04345,-117.75048,Los Angeles,91766,1555 S. Garey Ave.
RITE AID PHARMACY 05556,34.42603,-118.42593,Los Angeles,91387,1555 S. Garey Ave.
ST. ANTHONY MEDICAL CENTERS,34.04749,-118.29224,Los Angeles,90006,1555 S. Garey Ave.
Express Pharmacy #9,35.14442,-119.46403,Kern,93268,1555 S. Garey Ave.
VALLE VERDE PHARMACY,36.93751,-121.77066,Santa Cruz,95019,1555 S. Garey Ave.
Atlantic Pharmacy,34.03324,-118.15531,Los Angeles,90022,1555 S. Garey Ave.
Ralphs Pharmacy (4311 Lincoln Blvd),33.98535,-118.44358,Los Angeles,90292,1555 S. Garey Ave.
Providence Holy Cross Medical Center – Mission Hills,34.27982,-118.45993,Los Angeles,91345,15031 Rinaldi St
RITE AID PHARMACY 05837,35.12544,-117.9593,Kern,93505,15031 Rinaldi St
CENTRAL RX PHARMACY,37.92426,-121.73711,Contra Costa,94513,15031 Rinaldi St
Ralphs Pharmacy (1121 N Harbor Blvd),33.88119,-117.92544,Orange,92832,15031 Rinaldi St
Perlman Clinic Encinitas,33.0573,-117.26137,San Diego,92024,15031 Rinaldi St
Walmart Pharmacy 10-2464,38.4598,-121.49245,Sacramento,95832,15031 Rinaldi St
Cam Huong Tran MD,33.75897,-117.9536,Orange,92843,15031 Rinaldi St
Ampla Health: Hamilton City Medical,39.74175,-122.01165,Glenn,95951,15031 Rinaldi St
Antelope Valley Fairgrounds (Kaiser clinic),34.6753,-118.17662,Los Angeles,93536,2551 W Avenue H
H Street Clinic,34.12385,-117.30063,San Bernardino,92405,2551 W Avenue H
St. Joseph Health Redwood Memorial,40.78501,-124.14223,Humboldt,95501,2551 W Avenue H
Centro Medico Oasis,33.49839,-116.11537,Riverside,92274,2551 W Avenue H
Vincent Pharmacy,32.73031,-116.97086,San Diego,91978,2551 W Avenue H
Marin Center POD,38.0024,-122.53357,Marin,94901,2551 W Avenue H
CommuniCare Health Centers - Hansen Family Health Center,38.68438,-121.79383,Yolo,95695,2551 W Avenue H
NOBLE PHARMACY INC,34.16639,-118.30882,Los Angeles,91502,2551 W Avenue H
RITE AID PHARMACY 05910,38.05437,-122.15511,Solano,94510,2551 W Avenue H
Ambulatory Care Center (ACC) (VA Redlands),34.06119,-117.23622,San Bernardino,NA,NA
Desert Hot Springs Community Health Center Main Campus,33.96117,-116.49821,Riverside,92240,2551 W Avenue H
San Diego State University Student Health,32.77287,-117.07348,San Diego,92182,2551 W Avenue H
Del Valle High School,37.67884,-121.76666,Marin,94550,2551 W Avenue H
RX BOUTIQUE PHARMACY INC,34.17226,-118.53432,Los Angeles,91356,2551 W Avenue H
Blythe Health Clinic,33.61069,-114.60006,Riverside,92225,2551 W Avenue H
Kings Winery Medical Clinic,36.73665,-119.73053,Fresno,93727,2551 W Avenue H
WALGREENS #4136,38.52516,-121.49602,Sacramento,95822,2551 W Avenue H
Blythe Mart Pharmacy,33.61016,-114.59953,Riverside,92225,2551 W Avenue H
COLTON PHARMACY,34.06775,-117.33083,San Bernardino,92324,2551 W Avenue H
Aviva Pharmacy,33.80509,-118.18534,Los Angeles,90806,2633 Atlantic Ave. 
St. Ferdinands Catholic Church,34.28236,-118.44301,Los Angeles,91340,Saint Ferdinand Parish (Inside the parish parking lot)
WALGREENS #12548,37.27724,-121.88042,Santa Clara,95118,Saint Ferdinand Parish (Inside the parish parking lot)
Murrieta VA Clinic,33.61522,-117.1671,Riverside,NA,Saint Ferdinand Parish (Inside the parish parking lot)
Mead Valley Clinica Medica Familiar,33.83017,-117.29406,Riverside,92570,Saint Ferdinand Parish (Inside the parish parking lot)
Dignity Health Medical Foundation - Ventura Riverpark,34.24541,-119.182,Ventura,NA,NA
WALMART PHARMACY 10-2536,36.22847,-119.329,Tulare,93274,Saint Ferdinand Parish (Inside the parish parking lot)
Pharmaca Integrative Pharmacy (1744 Solano Ave),37.891,-122.28105,Alameda,94707,Saint Ferdinand Parish (Inside the parish parking lot)
Sutter Health Clinic,38.09877,-122.5607,Marin,94945,Saint Ferdinand Parish (Inside the parish parking lot)
CVS Pharmacy® & Drug Store at 330 Bon Air Shopping Ctr Greenbrae CA 94904,37.9452,-122.5226,Marin,94904,Saint Ferdinand Parish (Inside the parish parking lot)
SAV-ON PHARMACY #1585,33.78678,-117.8044,Orange,92869,Saint Ferdinand Parish (Inside the parish parking lot)
Niles Childrens Clinic/Universal Urgent Care-Childrens,35.37698,-118.93711,Kern,93305,Saint Ferdinand Parish (Inside the parish parking lot)
SAFEWAY PHARMACY #1192,37.96618,-121.99077,Contra Costa,94521,Saint Ferdinand Parish (Inside the parish parking lot)
WALGREENS #9197,33.88806,-117.86401,Orange,92870,Saint Ferdinand Parish (Inside the parish parking lot)
Palm Desert CBOC (VA Clinic),33.74868,-116.35541,Riverside,92211,41990 Cook Street 
VONS PHARMACY #1638,33.83518,-118.11543,Los Angeles,90713,41990 Cook Street 
WALMART PHARMACY 10-2052,39.13379,-123.19743,Mendocino,95482,41990 Cook Street 
Adult Primary Care - Providence Saint Johns Medical Office - Playa Vista,33.98026,-118.413,Los Angeles,90066,41990 Cook Street 
CVS Pharmacy,34.20509,-118.19885,Los Angeles,91011,2 Sport Chalet Dr
VU PHARMACY,34.22126,-119.03892,Ventura,93010,2 Sport Chalet Dr
CARE PHARMACY,32.75672,-117.08539,San Diego,92115,2 Sport Chalet Dr
CVS Pharmacy® at 140 N 12th Ave Hanford CA 93230,36.3259,-119.6742,Kings,93230,2 Sport Chalet Dr
CVS Pharmacy® & Drug Store at 1020 Irvine Avenue Newport Beach CA 92660,33.6287,-117.9059,Orange,92660,2 Sport Chalet Dr
SAVON PHARMACY #0393,34.26181,-118.79492,Ventura,93065,2 Sport Chalet Dr
CVS Pharmacy® & Drug Store at 12358 Poway Road Poway CA 92064,32.9529,-117.0635,San Diego,92064,2 Sport Chalet Dr
WALMART PHARMACY 10-2288,34.02973,-117.75809,Los Angeles,91766,2 Sport Chalet Dr
Rubidoux Family Care Center,33.99175,-117.39774,Riverside,92509,2 Sport Chalet Dr
Providence St. Mary Medical Center,34.54211,-117.26554,San Bernardino,92307,2 Sport Chalet Dr
V N PHARMACY,34.06234,-118.08878,Los Angeles,91770,2 Sport Chalet Dr
CVS Pharmacy® & Drug Store at 218 E Highway 246 Bldg 3 Buellton CA 93427,34.6097,-120.189,Santa Barbara,93427,2 Sport Chalet Dr
CVS Pharmacy at 3601 N Freeway Blvd,38.64133,-121.49873,Sacramento,95834,2 Sport Chalet Dr
Family Healthcare Network (250 W. Fifth Street),36.32441,-119.64812,Kings,93230,2 Sport Chalet Dr
SIMONS DISCOUNT PHARMACY,34.09783,-118.34856,Los Angeles,90046,2 Sport Chalet Dr
986 Pharmacy (8054 Garvey Ave Ste 101),34.06211,-118.09263,Los Angeles,91770,2 Sport Chalet Dr
DELANO COMMUNITY HEALTH CENTER,35.75438,-119.24994,Kern,93215,2 Sport Chalet Dr
Mt San Jacinto College - Menifee,33.67487,-117.16788,Riverside,92584,28237 La Piedra Rd  Building 700
Dignity Health Medical Group - Ventura,34.27474,-119.26075,Ventura,93003,28237 La Piedra Rd  Building 700
CVS Pharmacy Inc. #09505,33.79028,-118.14116,Los Angeles,90815,28237 La Piedra Rd  Building 700
VONS PHARMACY #2832,34.11501,-117.77369,Los Angeles,91750,28237 La Piedra Rd  Building 700
HINAS HOMECARE PHARMACY,35.35494,-119.1085,Kern,93311,28237 La Piedra Rd  Building 700
CVS Pharmacy at 21590 East Valley Blvd.,34.00524,-117.90189,Los Angeles,91789,28237 La Piedra Rd  Building 700
I AND G PHARMACY INC,34.14294,-118.24477,Los Angeles,91205,28237 La Piedra Rd  Building 700
WALMART PHARMACY 10-1941,34.11666,-117.82686,Los Angeles,91740,28237 La Piedra Rd  Building 700
AP 7 Pharmacy,34.05975,-117.94693,Los Angeles,91790,28237 La Piedra Rd  Building 700
TAMPA PLAZA PHARMACY,34.17237,-118.54897,Los Angeles,91356,28237 La Piedra Rd  Building 700
Westside Pharmacy,34.04535,-118.45192,Los Angeles,90025,28237 La Piedra Rd  Building 700
Ambrose Recreational Center,38.02647,-121.94919,Contra Costa,94565,28237 La Piedra Rd  Building 700
CVS Store #10080,37.79062,-122.41782,NA,94109,28237 La Piedra Rd  Building 700
CVS Pharmacy® & Drug Store at 1747 North Cahuenga Boulevard Hollywood CA 90028,34.1032,-118.3301,Los Angeles,90028,28237 La Piedra Rd  Building 700
Walgreens #16058,38.79586,-121.32811,Placer,95747,28237 La Piedra Rd  Building 700
Adventist Health Mobile - Taft - UFW,35.14448,-119.45925,Kern,93268,915 North 10th St Ste 2
Fairmont Pharmacy,38.12311,-121.28712,San Joaquin,95240,915 North 10th St Ste 2
Meena Medical Group,38.66995,-121.14737,Sacramento,95630,915 North 10th St Ste 2
CVS Pharmacy at 3202 Wilshire Blvd,34.02809,-118.48727,Los Angeles,90403,915 North 10th St Ste 2
CVS Pharmacy & Drug Store at 1970 Yosemite Parkway Merced,37.2939,-120.4522,Merced,95341,915 North 10th St Ste 2
SERRANO MEDICAL PHARMACY,34.06883,-118.30609,Los Angeles,90020,915 North 10th St Ste 2
Riverside Cardiology Associates,33.97657,-117.38354,Riverside,92501,915 North 10th St Ste 2
CVS Pharmacy & Drug Store at 24167 Paseo De Valencia Laguna Woods,33.6115,-117.7142,Orange,92637,915 North 10th St Ste 2
WALGREENS #15666,37.7669,-122.24031,Alameda,94501,915 North 10th St Ste 2
WalMart Pharmacy 10-5766,37.14955,-121.6553,Santa Clara,95037,915 North 10th St Ste 2
